UF;Municípios;R$ Transferido;;Saldo em conta;% em Saldo;% Executado*;% Executado*
CE;CAMOCIM;470239,55;;338257,08;0,7193292865;0,280670713;0,280670713
CE;BREJO SANTO;371000;;0,00;0,0000000000;1;1
CE;BOA VIAGEM;408433,47;;0,00;0,0000000000;1;1
CE;BELA CRUZ;257258,05;;259003,27;1,0067839277;0;0
CE;BEBERIBE;403740;;82,20;0,0002035964;0,999796404;0,999796404
CE;BATURITE;275293,82;;0,00;0,0000000000;1;1
CE;BARROQUINHA;130000;;130885,87;1,0068143846;0;0
CE;BARRO;182876,56;;3472,08;0,0189859214;0,981014079;0,981014079
CE;BARREIRA;181420,68;;8601,77;0,0474133930;0,952586607;0,952586607
CE;BARBALHA;444898,52;;4151,25;0,0093307795;0,99066922;0,99066922
CE;BANABUIU;157281,64;;1460,76;0,0092875430;0,990712457;0,990712457
CE;BAIXIO;62594,75;;1470,87;0,0234982966;0,976501703;0,976501703
CE;AURORA;203044,94;;105235,88;0,5182886114;0,481711389;0,481711389
CE;ASSARE;187084,34;;164206,76;0,8777151524;0,122284848;0,122284848
CE;ARNEIROZ;71455,63;;1028,37;0,0143917281;0,985608272;0,985608272
CE;ARATUBA;103231,08;;32152,54;0,3114618194;0,688538181;0,688538181
CE;ARARIPE;176710,49;;177909,78;1,0067867505;0;0
CE;ARARENDA;98024,17;;19743,52;0,2014148143;0,798585186;0,798585186
CE;ARACOIABA;213407;;103036,31;0,4828159807;0,517184019;0,517184019
CE;ARACATI;541289,47;;210520,51;0,3889240816;0,611075918;0,611075918
CE;AQUIRAZ;573000;;288281,60;0,5031092496;0,49689075;0,49689075
CE;APUIARES;127847,02;;0,00;0,0000000000;1;1
CE;ANTONINA DO NORTE;68674,57;;111,41;0,0016222890;0,998377711;0,998377711
CE;AMONTADA;328165,23;;146645,94;0,4468661717;0,553133828;0,553133828
CE;ALTO SANTO;151279,68;;0,00;0,0000000000;1;1
CE;ALTANEIRA;70005,46;;0,00;0,0000000000;1;1
CE;ALCANTARAS;102470;;24,51;0,0002391920;0,999760808;0,999760808
CE;AIUABA;152724,12;;45003,74;0,2946734281;0,705326572;0,705326572
CE;ACOPIARA;406000;;13683,02;0,0337020197;0,96629798;0,96629798
CE;ACARAU;464416,03;;467525,54;1,0066955269;0;0
CE;ACARAPE;129725,39;;19683,21;0,1517298194;0,848270181;0,848270181
CE;ABAIARA;102603,05;;103302,04;1,0068125655;0;0
ES;VILA VELHA;3050149,89;;213829,20;0,0701044892;0,929895511;0,929895511
ES;VILA VALERIO;121400,15;;37653,02;0,3101562889;0,689843711;0,689843711
ES;VIANA;553325,45;;382096,74;0,6905461153;0,309453885;0,309453885
ES;VENDA NOVA DO IMIGRANTE;201730,48;;203077,80;1,0066788122;0;0
ES;SERRA;3185301,12;;169866,93;0,0533283742;0,946671626;0,946671626
ES;SAO MATEUS;893347,22;;642,92;0,0007196754;0,999280325;0,999280325
ES;SAO JOSE DO CALCADO;93077,02;;93698,66;1,0066787699;0;0
ES;SAO GABRIEL DA PALHA;290474,93;;32107,42;0,1105342206;0,889465779;0,889465779
ES;SAO DOMINGOS DO NORTE;73924,86;;18058,72;0,2442848049;0,755715195;0,755715195
ES;SANTA TERESA;192100,99;;23304,32;0,1213128574;0,878687143;0,878687143
ES;SANTA MARIA DE JETIBA;304656,91;;87508,93;0,2872376340;0,712762366;0,712762366
ES;SANTA LEOPOLDINA;102600,04;;103286,28;1,0066884964;0;0
ES;RIO NOVO DO SUL;99164,06;;99830,72;1,0067227986;0;0
ES;RIO BANANAL;158496;;159558,94;1,0067064153;0;0
ES;PRESIDENTE KENNEDY;98890,01;;99549,40;1,0066679132;0;0
ES;PONTO BELO;69500,13;;0,00;0,0000000000;1;1
