registros,I_Cmp,I_Und
11,CAFÉ,PACOTE 1 KG
11,CAFÉ,PACOTE COM 1 KG
11,CAFÉ,"PACOTE 00000001,00 K"
11,CAFÉ,PEÇA
10,CAFÉ,SACA
10,CAFÉ,EMBALAGEM 500 G
10,CAFÉ,250G
10,CAFÉ,"500,00 G"
10,CAFE TORRADO,QUILOS
10,CAFÉ,1 KG
10,CAFÉ,PCT 500 GRS
10,CAFE TORRADO,UNIDADE
10,CAFÉ,PACOTE C/ 1 KG
10,CAFÉ,PACOTE 250GR
10,CAFÉ,"250,00 G"
10,CAFÉ,EMBALAGEM 50G
9,CAFÉ,"SACO 1,00 KG"
9,CAFÉ,UNI
9,CAFÉ,PACOTE 250 GR
9,CAFÉ,"SACHÊ 1,30 G"
9,CAFÉ,PACOTE C/250G
9,CAFÉ,PACOTES 250G
9,CAFÉ,CXS
9,CAFÉ,VIDROS
8,CAFÉ,PCT 250GR
8,CAFÉ,GARRAFA
8,CAFÉ,FR
8,CAFÉ,CAIXA 500 G
8,CAFÉ,CAIXA COM 20 PACOTES
8,CAFÉ,PCT 250 GR
8,CAFÉ,PCT 1KG
8,CAFÉ,PCT DE 500G
8,CAFÉ,PCT DE 250G
8,CAFÉ,"CAIXA 40,00 UN"
8,CAFÉ,PCT 1 KG
8,CAFÉ,CÁPSULA
8,CAFÉ,PACOTE 500 GRAMA
8,CAFE TORRADO,KGS.
7,CAFÉ,GR
7,CAFÉ,PACOTES 500GR
7,CAFÉ,EMBALAGEM 1KG
7,CAFÉ,PACOTES DE 500 G
7,CAFÉ,"PACOTE 00000250,00 G"
7,CAFÉ,CAIXA COM 500G
7,CAFÉ,500GR
7,CAFÉ,PCT 250 G
7,CAFÉ,PCT - 500 GR
7,CAFÉ,FRD.
7,CAFÉ,"FRASCO 100,00 ML"
7,CAFÉ,PCTE 500G
7,CAFÉ,GRAMAS
7,CAFÉ,PACOTE COM 500 GR
7,CAFÉ,FARDO 5KG
7,CAFÉ,PAC
6,CAFÉ,PACOTE C/ 500 G
6,CAFÉ,CAPSULAS COM 16 UNID
6,CAFÉ,PCT/500G
6,CAFE TORRADO,PACOTE 1KG
6,CAFÉ,PACOTE C/ 500 GRAMAS
6,CAFÉ,PCT COM 500 GRAMAS
6,CAFÉ,PACOTE 500GR.
6,CAFÉ,PACOTE DE 500 GR.
6,CAFÉ,CJ
6,CAFE TORRADO,PACOTES
6,CAFÉ,PCT C/ 500G
6,CAFÉ,PCT C/500G
6,CAFÉ,PACTE
6,CAFÉ,PACOTES COM 250 GRAM
6,CAFÉ,PACOTE 250G.
6,CAFÉ,"SACHÊ 20,00 G"
6,CAFÉ,PCTE.
6,CAFÉ,PCTE 500GR
6,CAFÉ,CX.
6,CAFÉ,PACOTE COM 1KG
6,CAFÉ,PACOTE COM 250 G
6,CAFE TORRADO,PACOTE COM 250G
6,CAFÉ,EMBALAGEM 500 GRAMAS
6,CAFÉ,PCT C/ 250G
6,CAFÉ,POTE
6,CAFE TORRADO,UND
5,CAFÉ,QUILO.
5,CAFE TORRADO,PCTE
5,CAFÉ,500 G
5,CAFÉ,194033
5,CAFÉ,PACOTE C/ 250 GRAMAS
5,CAFÉ,PACOTE COM 5KG
5,CAFÉ,PACOTE 250GRAMAS
5,CAFÉ,JG
5,CAFÉ,EMBALAGEM DE 1 KG
5,CAFÉ,UMA
5,CAFÉ,CAIXA 500G
5,CAFÉ,EMB.
5,CAFÉ,JOGO
5,CAFÉ,PACOTES 500 GR
5,CAFÉ,PACOTE DE 500 GRS
5,CAFÉ,PACOTE 1/2 KG
5,CAFÉ,"PACOTE 0,5 KG"
5,CAFÉ,250 GRAMAS
5,CAFÉ,PCT COM 500G
4,CAFÉ,POTE C/ 200 GRAMAS
4,CAFÉ,PACOTE DE 250GR
4,CAFÉ,PACOTE 250 KG
4,CAFÉ,"FARDO 10,00 KG"
4,CAFÉ,COPO 180ML
4,CAFE TORRADO,*PACOTE
4,CAFÉ,SERVIÇO
4,CAFÉ,PACOTE C/ 250 G
4,CAFÉ,PCT COM 250G
4,CAFÉ,PCT DE 500GR
4,CAFE TORRADO,FDO 20X250G
4,CAFÉ,PACOTE DE 250 GR
4,CAFÉ,PACOTES DE 250G.
4,CAFÉ,PACOTE 500GRS
4,CAFE TORRADO,PACOTE 500 G
4,CAFÉ,UNIDADE DE 250 G
4,CAFÉ,"GALÃO 20,00 L"
4,CAFÉ,EMBALAGEM DE 500 G
4,CAFÉ,DOSE
4,CAFÉ,PACOTES 500 GRAMAS
4,CAFÉ,"PACOTE 180,00 G"
4,CAFÉ,PCT C/ 500GR
4,CAFÉ,EMBALAGEM 200G
4,CAFÉ,"FARDO 30,00 KG"
4,CAFÉ,"EMBALAGEM 500,00 G"
4,CAFÉ,EMBALAGEM DE 50G
4,CAFÉ,"GARRAFA 1,9 L"
4,CAFÉ,LATA COM 200G
4,CAFÉ,PACOTE DE 500GRS
4,CAFE TORRADO,PCT 500 GR
4,CAFÉ,SACHÊ 50G
4,CAFÉ,PACOTE C/500G
4,CAFÉ,PACOTE  500G
4,CAFÉ,"LATA 400,00 G"
4,CAFÉ,FARDO 20X250GM
4,CAFÉ,PCT 500GR.
4,CAFÉ,QUILO (KG)
4,CAFÉ,EMBALAGEM 500 GR
4,CAFÉ,FARDO 5 KG
4,CAFE TORRADO,CAIXAS
4,CAFÉ,PACOTE 500 GR.
4,CAFÉ,PACOTE C/ 500 GR
4,CAFÉ,LATA 200 G
4,CAFÉ,GARRAFA 1L
4,CAFÉ,"PACOTE 0000001,00 KG"
4,CAFÉ,PCT 250 GRAMAS
4,CAFÉ,PACOTE - 500G
4,CAFÉ,CAIXA C/ 20 PACOTES
4,CAFÉ,PCTE 500 G
3,CAFÉ,SAC
3,CAFÉ,QUILOGRAMA (KG)
3,CAFÉ,PCTE 250G
3,CAFÉ,PCT C/250G
3,CAFÉ,"CAIXA 5000,00 UN"
3,CAFÉ,EMB
3,CAFÉ,CAIXA.
3,CAFE TORRADO,PACOTE 500 GRAMAS
3,CAFÉ,"PACOTE 100,00 UN"
3,CAFE TORRADO,PACOTE 500G
3,CAFE TORRADO,PACOTE COM 500 GRAMA
3,CAFÉ,PACOTE DE 1/2 KG
3,CAFÉ,PACOTE DE 500GR.
3,CAFÉ,PACOTES 500 G
3,CAFÉ,PACOTE DE 500 G.
3,CAFÉ,PACOTES 500 GRS
3,CAFÉ,"PACOTE 2,00 KG"
3,CAFE TORRADO,1 KG
3,CAFÉ,FARDO 10X500G
3,CAFÉ,FARDO 30X01
3,CAFÉ,PACOTES DE 250 GRAMA
3,CAFÉ,PCT DE 500 GR
3,CAFÉ,UNITÁRIO
3,CAFÉ,UND.
3,CAFÉ,FARDO COM 5 KG
3,CAFÉ,FRASCO 200G
3,CAFÉ,"CAIXA 00000020,00 UN"
3,CAFÉ,CENTENA
3,CAFÉ,PACOTES COM 500G
3,CAFÉ,PC 500G
3,CAFÉ,PCT C/ 1 KG
3,CAFÉ,PCTES
3,CAFÉ,TAF DISTRIBUIDORA
3,CAFÉ,SACHÊ
3,CAFÉ,PCT. 500G
3,CAFÉ,PCT C/ 500 GR
3,CAFÉ,PCT - 500G
3,CAFÉ,PACOTE 250 G.
3,CAFÉ,KH
3,CAFÉ,EMBALAGEM 250 GRAMAS
3,CAFÉ,CAIXA COM 500GR
3,CAFÉ,PCT C/ 500 GRAMAS
3,CAFÉ,PCTE 500 GRS
3,CAFÉ,PC.
3,CAFÉ,PACOTES DE 500 GRS
3,CAFE TORRADO,PACOTE C/250G
3,CAFÉ,PACOTE C/500 GRAMAS
3,CAFÉ,PACOTE 500G.
3,CAFÉ,PACOTE DE 250 GRAMA
3,CAFÉ,FARDO DE 5KG
3,CAFÉ,FARDO C/ 20 X 250G
3,CAFÉ,GK
3,CAFÉ,"PACOTE 500,00 GRAMAS"
3,CAFÉ,PACOTE 200G
3,CAFÉ,LT
3,CAFE TORRADO,KILOGRAMAS
3,CAFÉ,PCT C/500GR
3,CAFÉ,EMBALAGEM COM 500 G
3,CAFÉ,CAIXA COM 16
3,CAFÉ,FARDO COM 5KG
3,CAFÉ,EMBALAGEM COM 500G
3,CAFÉ,"200,00 G"
3,CAFÉ,PCT C/500 GRAMAS
3,CAFÉ,PAR
3,CAFE TORRADO,PACOTE COM 250 G
3,CAFÉ,PACOTE C/ 500GR
3,CAFÉ,PACOTE 5 KG
3,CAFÉ,EMBALAGEM 250 G
3,CAFÉ,KLG
3,CAFÉ,PACOTE 250 GR.
3,CAFÉ,PACOTE DE 500 GRS.
3,CAFE TORRADO,PACOTE C/ 500G
3,CAFÉ,PCTE DE 500 GRAMAS
3,CAFÉ,PCT. 01KG
3,CAFE TORRADO,PACOTE COM 250GR
3,CAFÉ,PACOTES COM 500GR
3,CAFÉ,PACT
2,CAFÉ,PACOTES DE 1KG
2,CAFÉ,PCT COM 500GR
2,CAFÉ,PCT C/ 250 G
2,CAFÉ,PCS
2,CAFÉ,PCTE 500 GRAMAS
2,CAFÉ,PCTES DE 500 GRAMAS
2,CAFÉ,QUARENTA
2,CAFE TORRADO,PACOTE COM 250 GRAMA
2,CAFÉ,PACOTE 500 GRS.
2,CAFÉ,PACOTE 200 GRAMAS
2,CAFÉ,"PACOTE 25,00 G"
2,CAFÉ,PACOTE 500 GM.
2,CAFÉ,PACOTE 250GM
2,CAFÉ,PAC.
2,CAFÉ,HG
2,CAFÉ,G
2,CAFÉ,CXAS
2,CAFE TORRADO,EMBALAGEM DE 500 GRA
2,CAFÉ,EMBALAGENS DE 500 GR
2,CAFÉ,FARDO 20X250G
2,CAFÉ,CAIXA 500GR
2,CAFÉ,SACHÊ 50 G
2,CAFÉ,UNS.
2,CAFE TORRADO,PACOTE 500 GR
2,CAFÉ,PACOTE 500 MG
2,CAFÉ,PACOTE 5KG
2,CAFÉ,PACOTE 250
2,CAFÉ,PACOTE  500 GRAMAS
2,CAFÉ,LATA 400G
2,CAFÉ,LATAS
2,CAFÉ,PC 500GR
2,CAFÉ,PACOTES DE 500 GRS.
2,CAFÉ,PACTE.
2,CAFÉ,PACOTE COM 500 GRS.
2,CAFÉ,PACOTES DE 250 GR.
2,CAFÉ,PACOTE VÁCUO 500 GR
2,CAFÉ,PACOTES 250 G
2,CAFE TORRADO,PCT 500GR
2,CAFÉ,"CAIXA 25,00 UN"
2,CAFÉ,CAIXA COM 08
2,CAFÉ,590
2,CAFÉ,600
2,CAFÉ,EMBALAGEM DE 250 G
2,CAFE TORRADO,CAIXA C/05 KG.
2,CAFÉ,COPO 50 ML
2,CAFÉ,FDS
2,CAFÉ,CXS.
2,CAFÉ,SACOS
2,CAFÉ,PCTS 500 GRS
2,CAFÉ,UNDS
2,CAFÉ,PCT C/250 GR
2,CAFE TORRADO,U
2,CAFÉ,VIDRO 100G
2,CAFÉ,CXA
2,CAFÉ,CAIXA COM 24 UNID.
2,CAFÉ,BIG BAG
2,CAFÉ,FARDO C/ 05 KG
2,CAFÉ,EMBALAGEM 50 G
2,CAFE TORRADO,FARDOS
2,CAFÉ,PC 250G
2,CAFÉ,PCT - 500 G
2,CAFÉ,"LATA 00000200,00 G"
2,CAFÉ,PACOTE - 1 KG
2,CAFE TORRADO,PACOTE 250G
2,CAFÉ,PACOTE COM 250 GR.
2,CAFÉ,PACOTE COM 5 KG
2,CAFÉ,PACOTE 50G
2,CAFÉ,FDR
2,CAFE TORRADO,K
2,CAFÉ,MARATA
2,CAFÉ,FARDO 20X250GM.
2,CAFÉ,FARDO 30X250GM
2,CAFÉ,FARDO 5 KGS
2,CAFÉ,FARDO.
2,CAFÉ,.
2,CAFÉ,120
2,CAFE TORRADO,250G
2,CAFÉ,250GR
2,CAFÉ,PACOTE DE 500G.
2,CAFE TORRADO,PACOTE DE 500 GRAMAS
2,CAFÉ,PACOTE COM 500 GR.
2,CAFÉ,01 KG
2,CAFÉ,"PACOTE 400,00 G"
2,CAFÉ,PACOTE - 500 - GRAMA
2,CAFÉ,"PACOTE 0000010,00 KG"
2,CAFÉ,PACOTE VÁCUO 500G
2,CAFÉ,PACOTES DE 250GR
2,CAFE TORRADO,PCT 1KG
2,CAFÉ,PCT 50G
2,CAFÉ,UNDIADE
2,CAFÉ,VIDRO 200G
2,CAFÉ,CAFE
2,CAFÉ,CENTO
2,CAFÉ,CAIXA C/20 PCT
2,CAFÉ,CX. COM 10 UND.500G
2,CAFÉ,DS
2,CAFÉ,EMB 250G
2,CAFÉ,EMB 500G
2,CAFE TORRADO,500G
2,CAFÉ,"*FRASCO 1000,00 ML"
2,CAFÉ,3
2,CAFÉ,EMBALAGEM 250GR
2,CAFÉ,EMB. 250G
2,CAFÉ,GARRAFAO
2,CAFÉ,PACOTE 1 QUILO
2,CAFÉ,PACOTE (500G)
2,CAFÉ,PACOTE - 500 G
2,CAFE TORRADO,PACOTE 500GR
2,CAFÉ,EMBALAGEM COM 500 GR
2,CAFÉ,PACOTE DE 250 G.
2,CAFÉ,"PCT 1,00 KG"
2,CAFÉ,PACOTE/LATA
2,CAFÉ,PCT 500 GRMS
2,CAFÉ,PCT DE 500 GRAMAS
2,CAFÉ,PCT COM 1KG
2,CAFÉ,QUILOGRAMA DE 250
2,CAFE TORRADO,PT
2,CAFÉ,"XÍCARA DE 200,00 ML"
2,CAFÉ,PCTE 250 GR
2,CAFÉ,PCTE COM 500G
2,CAFÉ,"SACO 100,00 UN"
2,CAFÉ,QUI
2,CAFÉ,PD
2,CAFÉ,PCT C/250 G
2,CAFÉ,PCT DE 1KG
2,CAFÉ,PCT-500GR
2,CAFÉ,PCT. 250G
2,CAFÉ,PCT 250 GRMS
2,CAFÉ,PACOTE DE 250 GRS.
2,CAFÉ,UND 250G
2,CAFÉ,PACOTES COM 500 GR
2,CAFÉ,PACOTES COM 500 GRAM
2,CAFÉ,PACOTES 500GRAMAS
2,CAFÉ,PACOTE DE 500GRAMAS
2,CAFÉ,KM
2,CAFÉ,PACOTE COM  500 G
2,CAFE TORRADO,FDO
2,CAFÉ,PACOTE C/1KG
2,CAFÉ,PACOTE 250 GRS.
2,CAFÉ,"PACOTE 250,00 GRAMAS"
2,CAFÉ,PACOTE C/ 250 GR
2,CAFE TORRADO,PACOTE C/ 500 G
2,CAFÉ,COPO 180 ML
2,CAFÉ,CAIXA 500 GRAMAS
2,CAFÉ,CAIXA 20 UN
2,CAFÉ,FRDS.
2,CAFÉ,BULES
2,CAFÉ,EMBALAGEM DE 500GR
2,CAFÉ,"EMBALAGEM 00000001,0"
2,CAFÉ,EMBALAGEM 500GR
2,CAFÉ,CAIXA DE 500 G
2,CAFÉ,CAIXA DE 500 GRAMAS
2,CAFE TORRADO,CXS
2,CAFÉ,DF
2,CAFÉ,UNIDADE 500G
2,CAFÉ,QUILOS.
2,CAFÉ,SACA 60 KG
2,CAFÉ,QUILIGRAMA
2,CAFÉ,SACA COM 60 KG
2,CAFÉ,PCT 500G.
2,CAFÉ,FARDO C/PACOTE 500 G
2,CAFÉ,KILOGRMAS
2,CAFÉ,CONJUNTO TOTAL
2,CAFÉ,"PACOTE 500,00 UN"
2,CAFÉ,PACOTE C/ 1KG
2,CAFÉ,PACOTE - 500 GRAMAS
2,CAFÉ,LATA 200G
2,CAFÉ,MENSAL
2,CAFÉ,MES
2,CAFÉ,PACOTES DE 1 KG
2,CAFÉ,PACOTES DE 500GR
2,CAFÉ,PACOTE COM 1KG.
2,CAFÉ,PACOTES COM 250G
2,CAFÉ,PACOTE DE 500KG
2,CAFÉ,"PACOTE DE 1,00 KG"
2,CAFÉ,KL.
2,CAFÉ,L
2,CAFÉ,PACOTE 500 GRAMAS.
2,CAFÉ,LT/PT
2,CAFÉ,"GARRAFA 1000,00 ML"
2,CAFÉ,CONJUNTO
2,CAFÉ,EMB. C/ 500 G
2,CAFÉ,EMBALAGEM COM 250G
2,CAFÉ,FARDO 20X250
2,CAFÉ,FARDO C/05 KG
2,CAFÉ,ALMOFADA 500G
2,CAFÉ,"CAIXA 2500,00 UN"
2,CAFÉ,20
2,CAFÉ,KILOGRAMA
2,CAFÉ,"6,60"
2,CAFE TORRADO,PCT.
2,CAFÉ,PARES
2,CAFÉ,PCT 500 GRS ESPECIAL
1,CAFÉ,QUILOGRAMO
1,CAFÉ,"SACO 0,5 KG"
1,CAFÉ,PCTE. C/ 500 G
1,CAFÉ,PCTES 500 GR
1,CAFÉ,PCTES COM 500 GRS
1,CAFÉ,PGT
1,CAFÉ,POCOTE 500 GRAMAS
1,CAFÉ,PT. 500 GRS
1,CAFÉ,PTC
1,CAFÉ,QUILO PACOTES 250 GR
1,CAFÉ,"PCT  0,500KG"
1,CAFÉ,"PCT 0,5 KG"
1,CAFÉ,PCT 2 KG
1,CAFÉ,PCT 250G.
1,CAFÉ,PCT 500 GR.
1,CAFE TORRADO,PCT. 1KG
1,CAFÉ,PCT. C/ 500GR
1,CAFÉ,PCTE  500GR
1,CAFÉ,PCTE 250 GRAMAS
1,CAFÉ,PCT COM 500 GR
1,CAFÉ,PCT DE 250 G
1,CAFÉ,PCT DE 250GRAMAS
1,CAFÉ,SSACO 60 KG
1,CAFÉ,TÉRMICA 2 LITROS
1,CAFÉ,UNITÁRIO/DOSE 110ML
1,CAFÉ,VÁRIOS
1,CAFÉ,VD 200G
1,CAFÉ,SACO 500G
1,CAFÉ,"SACO 60,00 KG"
1,CAFÉ,SACO DE 500G
1,CAFÉ,"640,00"
1,CAFÉ,"8,98"
1,CAFÉ,"9,09"
1,CAFÉ,956
1,CAFÉ,598
1,CAFÉ,3400
1,CAFÉ,50 ML
1,CAFÉ,"*PACOTE 10,00 KG"
1,CAFÉ,"*PACOTE 4,00 UN"
1,CAFÉ,"0,5 KG"
1,CAFÉ,000000000000000000KG
1,CAFÉ,24_CAIXAS
1,CAFÉ,10
1,CAFÉ,100 GRAMS
1,CAFE TORRADO,CAIXA 5 KG (PCT DE 2
1,CAFÉ,"CAIXA 50,00 UN"
1,CAFÉ,"CAIXA 500,00 UN"
1,CAFÉ,"BOMBONA 5,00 L"
1,CAFÉ,"CAFE MOIDO, PACOTE C"
1,CAFÉ,1KG
1,CAFÉ,CAIXA C/ 20 PCT
1,CAFÉ,CAIXA C/ 500G
1,CAFÉ,CAIXA C/16 CÁPSULAS
1,CAFÉ,CAIXA C/20 UNIDADES
1,CAFÉ,CAIXA C/5KG
1,CAFE TORRADO,CAIXA COM 5 KG
1,CAFE TORRADO,CAIXA DE 5KG
1,CAFÉ,CAIXA OU PACOTE 500G
1,CAFE TORRADO,FARDO C/30PACOTES
1,CAFÉ,FARDO C/5KG
1,CAFE TORRADO,FARDO DE CAFE DE 250
1,CAFÉ,FARDOS COM 10 KILOGR
1,CAFÉ,FARDO 250GM
1,CAFÉ,FRASCO 500 GRAMAS
1,CAFÉ,FRS
1,CAFÉ,ESTATOR ALTERNADOR 2
1,CAFÉ,ESTIMADA
1,CAFÉ,FAD
1,CAFÉ,FARDO 05 KG
1,CAFE TORRADO,FARDO 05 QUILOS
1,CAFÉ,FARDO 10 PACOTES
1,CAFÉ,FARDO 20 EMB. 250G
1,CAFÉ,EMBAL 500GR
1,CAFÉ,EMB 500GR
1,CAFÉ,EMB DE 500 G
1,CAFÉ,EMB. C/ 10 CÁPSULAS
1,CAFÉ,CILINDRO DE EMBREAGE
1,CAFÉ,CX C/24 UND DE 500G
1,CAFÉ,CX CAFE EXTRA FORTE
1,CAFÉ,COPO 300ML
1,CAFÉ,GARRAFAS
1,CAFÉ,GR 250
1,CAFE TORRADO,HG CAFE TORRADO E MO
1,CAFÉ,KG EM PO A VACUO
1,CAFÉ,KGRS.
1,CAFÉ,KIGS.
1,CAFÉ,KILO EXTRA FORTE
1,CAFÉ,KILOGRA
1,CAFÉ,"LATA 300,00 ML"
1,CAFÉ,LATA C/400G
1,CAFÉ,LATAS.
1,CAFÉ,OITO FARDOS
1,CAFE TORRADO,PAC C/ 250 G
1,CAFÉ,PACORES DE 500 G
1,CAFÉ,PACOTE  1KG
1,CAFÉ,PACOTE - 500 GR
1,CAFÉ,PACOTE 0000000250 G
1,CAFÉ,PACOTE 000000250G
1,CAFÉ,PACOTE 01 KG
1,CAFÉ,PACOTE 1 QUILOGRAMA
1,CAFÉ,PACOTE 250 GRS
1,CAFÉ,PACOTE 250GR.
1,CAFÉ,PACOTE DE 1/2KG
1,CAFÉ,PACOTE DE 250 GR.
1,CAFÉ,PACOTE/500 GR
1,CAFE TORRADO,PACOTE_250 GRAMA
1,CAFÉ,PACOTE 500KG
1,CAFÉ,PACOTE ALUMINIZADO -
1,CAFÉ,PACOTE CONTENDO 500
1,CAFÉ,PACOTE C/ 250 GRS.
1,CAFE TORRADO,PACOTE C/250 GR
1,CAFÉ,PACOTE CO 250GR
1,CAFÉ,PACOTES COM 500 G.
1,CAFÉ,PACOTES COM 500 GRS
1,CAFÉ,PACOTES DE 01KG
1,CAFÉ,PACOTES DE 250GRAMAS
1,CAFÉ,PACOTES 500 KG
1,CAFÉ,PACOTE DE 500G (QUIN
1,CAFÉ,PACOTES DE 500G.
1,CAFÉ,PACT. C/250G
1,CAFÉ,PACTE 250 GRAMAS
1,CAFÉ,PC  250 GR
1,CAFÉ,PC 250 G
1,CAFÉ,PC COM 250 GRAMAS
1,CAFÉ,PC/500GR
1,CAFÉ,PCD
1,CAFÉ,PACOTE COM 250 GR
