UF,Município,Situação
PR,ALTO PARANA,Aprovado
MA,ALTO PARNAIBA,Não Cadastrado
PR,ALTO PIQUIRI,Aprovado
MG,ALTO RIO DOCE,Aprovado
ES,ALTO RIO NOVO,Aprovado
CE,ALTO SANTO,Aprovado
MT,ALTO TAQUARI,Não Cadastrado
PR,ALTONIA,Em Cadastro
PI,ALTOS,Aprovado
SP,ALUMINIO,Aprovado
AM,ALVARAES,Não Cadastrado
MG,ALVARENGA,Aprovado
SP,ALVARES FLORENCE,Não Cadastrado
SP,ALVARES MACHADO,Aprovado
SP,ALVARO DE CARVALHO,Aprovado
SP,ALVINLANDIA,Aprovado
MG,ALVINOPOLIS,Aprovado
RS,ALVORADA,Aprovado
TO,ALVORADA,Não Cadastrado
RO,ALVORADA D'OESTE,Não Cadastrado
MG,ALVORADA DE MINAS,Não Cadastrado
PI,ALVORADA DO GURGUEIA,Não Cadastrado
GO,ALVORADA DO NORTE,Aprovado
PR,ALVORADA DO SUL,Aprovado
RR,AMAJARI,Não Cadastrado
MS,AMAMBAI,Aprovado
AP,AMAPA,Aprovado
MA,AMAPA DO MARANHAO,Aprovado
PR,AMAPORA,Aprovado
PE,AMARAJI,Aprovado
RS,AMARAL FERRADOR,Rejeitado
GO,AMARALINA,Não Cadastrado
PI,AMARANTE,Aprovado
MA,AMARANTE DO MARANHAO,Aprovado
BA,AMARGOSA,Aprovado
AM,AMATURA,Aprovado
BA,AMELIA RODRIGUES,Aprovado
BA,AMERICA DOURADA,Aprovado
SP,AMERICANA,Aprovado
GO,AMERICANO DO BRASIL,Aprovado
SP,AMERICO BRASILIENSE,Aprovado
SP,AMERICO DE CAMPOS,Em Complementação
RS,AMETISTA DO SUL,Não Cadastrado
CE,AMONTADA,Aprovado
GO,AMORINOPOLIS,Em Cadastro
PB,AMPARO,Aprovado
SP,AMPARO,Aprovado
SE,AMPARO DE SAO FRANCISCO,Aprovado
MG,AMPARO DO SERRA,Não Cadastrado
PR,AMPERE,Aprovado
AL,ANADIA,Aprovado
BA,ANAGE,Aprovado
PR,ANAHY,Não Cadastrado
PA,ANAJAS,Aprovado
MA,ANAJATUBA,Não Cadastrado
SP,ANALANDIA,Não Cadastrado
AM,ANAMA,Aprovado
TO,ANANAS,Aprovado
PA,ANANINDEUA,Aprovado
GO,ANAPOLIS,Aprovado
PA,ANAPU,Aprovado
MA,ANAPURUS,Aprovado
MS,ANASTACIO,Aprovado
MS,ANAURILANDIA,Não Cadastrado
SC,ANCHIETA,Aprovado
ES,ANCHIETA,Aprovado
BA,ANDARAI,Aprovado
PR,ANDIRA,Rejeitado
BA,ANDORINHA,Aprovado
MG,ANDRADAS,Aprovado
SP,ANDRADINA,Aprovado
