UF,Município,Situação
PB,BOQUEIRAO,Aprovado
RS,BOQUEIRAO DO LEAO,Aprovado
PI,BOQUEIRAO DO PIAUI,Aprovado
SE,BOQUIM,Aprovado
BA,BOQUIRA,Aprovado
SP,BORA,Não Cadastrado
SP,BORACEIA,Aprovado
AM,BORBA,Em Cadastro
PB,BORBOREMA,Aprovado
SP,BORBOREMA,Aprovado
MG,BORDA DA MATA,Aprovado
SP,BOREBI,Rejeitado
PR,BORRAZOPOLIS,Aprovado
RS,BOSSOROCA,Aprovado
MG,BOTELHOS,Aprovado
SP,BOTUCATU,Aprovado
MG,BOTUMIRIM,Não Cadastrado
BA,BOTUPORA,Aprovado
SC,BOTUVERA,Aprovado
RS,BOZANO,Não Cadastrado
SC,BRACO DO NORTE,Aprovado
SC,BRACO DO TROMBUDO,Aprovado
RS,BRAGA,Aprovado
PA,BRAGANCA,Aprovado
SP,BRAGANCA PAULISTA,Aprovado
PR,BRAGANEY,Aprovado
AL,BRANQUINHA,Não Cadastrado
MG,BRAS PIRES,Não Cadastrado
PA,BRASIL NOVO,Aprovado
MS,BRASILANDIA,Não Cadastrado
MG,BRASILANDIA DE MINAS,Aprovado
PR,BRASILANDIA DO SUL,Aprovado
TO,BRASILANDIA DO TOCANTINS,Não Cadastrado
AC,BRASILEIA,Aprovado
PI,BRASILEIRA,Aprovado
MG,BRASILIA DE MINAS,Aprovado
MT,BRASNORTE,Aprovado
MG,BRASOPOLIS,Aprovado
SP,BRAUNA,Não Cadastrado
MG,BRAUNAS,Não Cadastrado
GO,BRAZABRANTES,Não Cadastrado
PE,BREJAO,Aprovado
ES,BREJETUBA,Aprovado
RN,BREJINHO,Aprovado
PE,BREJINHO,Aprovado
TO,BREJINHO DE NAZARE,Não Cadastrado
MA,BREJO,Aprovado
SP,BREJO ALEGRE,Não Cadastrado
PE,BREJO DA MADRE DE DEUS,Aprovado
MA,BREJO DE AREIA,Aprovado
PB,BREJO DO CRUZ,Aprovado
PI,BREJO DO PIAUI,Não Cadastrado
PB,BREJO DOS SANTOS,Aprovado
SE,BREJO GRANDE,Aprovado
PA,BREJO GRANDE DO ARAGUAIA,Não Cadastrado
CE,BREJO SANTO,Aprovado
BA,BREJOES,Aprovado
BA,BREJOLANDIA,Em Cadastro
PA,BREU BRANCO,Aprovado
PA,BREVES,Aprovado
GO,BRITANIA,Aprovado
RS,BROCHIER,Aprovado
SP,BRODOWSKI,Aprovado
SP,BROTAS,Aprovado
BA,BROTAS DE MACAUBAS,Aprovado
MG,BRUMADINHO,Aprovado
BA,BRUMADO,Aprovado
SC,BRUNOPOLIS,Não Cadastrado
SC,BRUSQUE,Aprovado
MG,BUENO BRANDAO,Aprovado
MG,BUENOPOLIS,Não Cadastrado
PE,BUENOS AIRES,Aprovado
BA,BUERAREMA,Aprovado
MG,BUGRE,Não Cadastrado
PE,BUIQUE,Aprovado
AC,BUJARI,Aprovado
PA,BUJARU,Aprovado
SP,BURI,Aprovado
SP,BURITAMA,Em Cadastro
MA,BURITI,Aprovado
GO,BURITI ALEGRE,Não Cadastrado
MA,BURITI BRAVO,Aprovado
GO,BURITI DE GOIAS,Aprovado
TO,BURITI DO TOCANTINS,Aprovado
PI,BURITI DOS LOPES,Aprovado
PI,BURITI DOS MONTES,Aprovado
MA,BURITICUPU,Aprovado
GO,BURITINOPOLIS,Em Complementação
BA,BURITIRAMA,Aprovado
MA,BURITIRANA,Não Cadastrado
RO,BURITIS,Não Cadastrado
MG,BURITIS,Aprovado
SP,BURITIZAL,Não Cadastrado
MG,BURITIZEIRO,Aprovado
RS,BUTIA,Aprovado
AM,CAAPIRANGA,Aprovado
PB,CAAPORA,Aprovado
MS,CAARAPO,Aprovado
BA,CAATIBA,Aprovado
PB,CABACEIRAS,Aprovado
BA,CABACEIRAS DO PARAGUACU,Aprovado
MG,CABECEIRA GRANDE,Aprovado
GO,CABECEIRAS,Aprovado
PI,CABECEIRAS DO PIAUI,Aprovado
PB,CABEDELO,Aprovado
RO,CABIXI,Não Cadastrado
PE,CABO DE SANTO AGOSTINHO,Aprovado
RJ,CABO FRIO,Aprovado
MG,CABO VERDE,Aprovado
SP,CABRALIA PAULISTA,Aprovado
SP,CABREUVA,Aprovado
PE,CABROBO,Aprovado
SC,CACADOR,Aprovado
SP,CACAPAVA,Aprovado
RS,CACAPAVA DO SUL,Aprovado
RO,CACAULANDIA,Não Cadastrado
RS,CACEQUI,Aprovado
MT,CACERES,Aprovado
BA,CACHOEIRA,Aprovado
GO,CACHOEIRA ALTA,Não Cadastrado
MG,CACHOEIRA DA PRATA,Não Cadastrado
GO,CACHOEIRA DE GOIAS,Não Cadastrado
MG,CACHOEIRA DE MINAS,Aprovado
MG,CACHOEIRA DE PAJEU,Aprovado
PA,CACHOEIRA DO ARARI,Aprovado
PA,CACHOEIRA DO PIRIA,Em Complementação
RS,CACHOEIRA DO SUL,Aprovado
PB,CACHOEIRA DOS INDIOS,Aprovado
MG,CACHOEIRA DOURADA,Aprovado
GO,CACHOEIRA DOURADA,Não Cadastrado
MA,CACHOEIRA GRANDE,Aprovado
SP,CACHOEIRA PAULISTA,Aprovado
RJ,CACHOEIRAS DE MACACU,Aprovado
RS,CACHOEIRINHA,Aprovado
TO,CACHOEIRINHA,Não Cadastrado
PE,CACHOEIRINHA,Aprovado
ES,CACHOEIRO DE ITAPEMIRIM,Aprovado
PB,CACIMBA DE AREIA,Aprovado
PB,CACIMBA DE DENTRO,Aprovado
PB,CACIMBAS,Aprovado
AL,CACIMBINHAS,Aprovado
RS,CACIQUE DOBLE,Aprovado
RO,CACOAL,Aprovado
SP,CACONDE,Aprovado
GO,CACU,Não Cadastrado
BA,CACULE,Aprovado
BA,CAEM,Aprovado
MG,CAETANOPOLIS,Aprovado
BA,CAETANOS,Não Cadastrado
MG,CAETE,Aprovado
PE,CAETES,Aprovado
BA,CAETITE,Aprovado
BA,CAFARNAUM,Aprovado
PR,CAFEARA,Aprovado
PR,CAFELANDIA,Não Cadastrado
SP,CAFELANDIA,Aprovado
PR,CAFEZAL DO SUL,Aprovado
SP,CAIABU,Aprovado
MG,CAIANA,Não Cadastrado
GO,CAIAPONIA,Não Cadastrado
RS,CAIBATE,Aprovado
SC,CAIBI,Aprovado
RS,CAICARA,Aprovado
PB,CAICARA,Aprovado
RN,CAICARA DO NORTE,Aprovado
RN,CAICARA DO RIO DO VENTO,Aprovado
RN,CAICO,Aprovado
SP,CAIEIRAS,Aprovado
BA,CAIRU,Aprovado
SP,CAIUA,Aprovado
SP,CAJAMAR,Aprovado
MA,CAJAPIO,Não Cadastrado
MA,CAJARI,Não Cadastrado
SP,CAJATI,Em Cadastro
PB,CAJAZEIRAS,Aprovado
PI,CAJAZEIRAS DO PIAUI,Aprovado
PB,CAJAZEIRINHAS,Aprovado
SP,CAJOBI,Não Cadastrado
AL,CAJUEIRO,Aprovado
PI,CAJUEIRO DA PRAIA,Em Cadastro
MG,CAJURI,Aprovado
SP,CAJURU,Aprovado
PE,CALCADO,Aprovado
AP,CALCOENE,Aprovado
MG,CALDAS,Aprovado
PB,CALDAS BRANDAO,Aprovado
GO,CALDAS NOVAS,Aprovado
GO,CALDAZINHA,Não Cadastrado
BA,CALDEIRAO GRANDE,Aprovado
PI,CALDEIRAO GRANDE DO PIAUI,Não Cadastrado
PR,CALIFORNIA,Aprovado
SC,CALMON,Aprovado
PE,CALUMBI,Aprovado
BA,CAMACAN,Aprovado
BA,CAMACARI,Aprovado
MG,CAMACHO,Aprovado
PB,CAMALAU,Aprovado
BA,CAMAMU,Aprovado
MG,CAMANDUCAIA,Aprovado
MS,CAMAPUA,Aprovado
RS,CAMAQUA,Aprovado
PE,CAMARAGIBE,Aprovado
RS,CAMARGO,Aprovado
PR,CAMBARA,Aprovado
RS,CAMBARA DO SUL,Aprovado
PR,CAMBE,Aprovado
PR,CAMBIRA,Aprovado
SC,CAMBORIU,Aprovado
RJ,CAMBUCI,Aprovado
MG,CAMBUI,Aprovado
MG,CAMBUQUIRA,Aprovado
PA,CAMETA,Aprovado
CE,CAMOCIM,Aprovado
PE,CAMOCIM DE SAO FELIX,Aprovado
MG,CAMPANARIO,Aprovado
MG,CAMPANHA,Não Cadastrado
MG,CAMPESTRE,Aprovado
AL,CAMPESTRE,Aprovado
RS,CAMPESTRE DA SERRA,Aprovado
GO,CAMPESTRE DE GOIAS,Aprovado
MA,CAMPESTRE DO MARANHAO,Não Cadastrado
PR,CAMPINA DA LAGOA,Aprovado
RS,CAMPINA DAS MISSOES,Aprovado
SP,CAMPINA DO MONTE ALEGRE,Rejeitado
PR,CAMPINA DO SIMAO,Não Cadastrado
PB,CAMPINA GRANDE,Aprovado
PR,CAMPINA GRANDE DO SUL,Aprovado
MG,CAMPINA VERDE,Aprovado
GO,CAMPINACU,Não Cadastrado
MT,CAMPINAPOLIS,Aprovado
SP,CAMPINAS,Aprovado
PI,CAMPINAS DO PIAUI,Aprovado
RS,CAMPINAS DO SUL,Rejeitado
GO,CAMPINORTE,Não Cadastrado
SC,CAMPO ALEGRE,Aprovado
AL,CAMPO ALEGRE,Aprovado
GO,CAMPO ALEGRE DE GOIAS,Não Cadastrado
BA,CAMPO ALEGRE DE LOURDES,Aprovado
PI,CAMPO ALEGRE DO FIDALGO,Não Cadastrado
MG,CAMPO AZUL,Aprovado
MG,CAMPO BELO,Aprovado
SC,CAMPO BELO DO SUL,Em Cadastro
RS,CAMPO BOM,Aprovado
PR,CAMPO BONITO,Aprovado
SE,CAMPO DO BRITO,Aprovado
MG,CAMPO DO MEIO,Não Cadastrado
PR,CAMPO DO TENENTE,Aprovado
SC,CAMPO ERE,Aprovado
MG,CAMPO FLORIDO,Não Cadastrado
BA,CAMPO FORMOSO,Aprovado
MS,CAMPO GRANDE,Aprovado
AL,CAMPO GRANDE,Aprovado
RN,CAMPO GRANDE (EX-AUGUSTO SEVERO),Aprovado
PI,CAMPO GRANDE DO PIAUI,Aprovado
PR,CAMPO LARGO,Aprovado
PI,CAMPO LARGO DO PIAUI,Aprovado
GO,CAMPO LIMPO DE GOIAS,Não Cadastrado
SP,CAMPO LIMPO PAULISTA,Aprovado
PR,CAMPO MAGRO,Aprovado
PI,CAMPO MAIOR,Aprovado
PR,CAMPO MOURAO,Aprovado
RS,CAMPO NOVO,Aprovado
RO,CAMPO NOVO DE RONDONIA,Não Cadastrado
MT,CAMPO NOVO DO PARECIS,Aprovado
RN,CAMPO REDONDO,Aprovado
MT,CAMPO VERDE,Aprovado
MG,CAMPOS ALTOS,Aprovado
GO,CAMPOS BELOS,Não Cadastrado
RS,CAMPOS BORGES,Aprovado
MT,CAMPOS DE JULIO,Em Análise
SP,CAMPOS DO JORDAO,Aprovado
RJ,CAMPOS DOS GOYTACAZES,Aprovado
MG,CAMPOS GERAIS,Em Cadastro
TO,CAMPOS LINDOS,Não Cadastrado
SC,CAMPOS NOVOS,Aprovado
SP,CAMPOS NOVOS PAULISTA,Aprovado
CE,CAMPOS SALES,Aprovado
GO,CAMPOS VERDES,Não Cadastrado
PE,CAMUTANGA,Aprovado
MG,CANA VERDE,Aprovado
MG,CANAA,Aprovado
PA,CANAA DOS CARAJAS,Aprovado
MT,CANABRAVA DO NORTE,Aprovado
SP,CANANEIA,Aprovado
AL,CANAPI,Aprovado
BA,CANAPOLIS,Não Cadastrado
MG,CANAPOLIS,Aprovado
BA,CANARANA,Não Cadastrado
MT,CANARANA,Aprovado
SP,CANAS,Em Análise
PI,CANAVIEIRA,Não Cadastrado
BA,CANAVIEIRAS,Aprovado
BA,CANDEAL,Aprovado
MG,CANDEIAS,Aprovado
BA,CANDEIAS,Aprovado
RO,CANDEIAS DO JAMARI,Aprovado
RS,CANDELARIA,Aprovado
BA,CANDIBA,Aprovado
PR,CANDIDO DE ABREU,Não Cadastrado
RS,CANDIDO GODOI,Não Cadastrado
MA,CANDIDO MENDES,Aprovado
SP,CANDIDO MOTA,Aprovado
SP,CANDIDO RODRIGUES,Aprovado
BA,CANDIDO SALES,Aprovado
RS,CANDIOTA,Aprovado
PR,CANDOI,Aprovado
RS,CANELA,Aprovado
SC,CANELINHA,Aprovado
RN,CANGUARETAMA,Aprovado
RS,CANGUCU,Aprovado
SE,CANHOBA,Aprovado
PE,CANHOTINHO,Aprovado
CE,CANINDE,Aprovado
SE,CANINDE DE SAO FRANCISCO,Aprovado
SP,CANITAR,Aprovado
RS,CANOAS,Aprovado
SC,CANOINHAS,Aprovado
BA,CANSANCAO,Aprovado
RR,CANTA,Aprovado
RJ,CANTAGALO,Aprovado
MG,CANTAGALO,Não Cadastrado
PR,CANTAGALO,Aprovado
MA,CANTANHEDE,Aprovado
PI,CANTO DO BURITI,Aprovado
BA,CANUDOS,Aprovado
RS,CANUDOS DO VALE,Não Cadastrado
AM,CANUTAMA,Não Cadastrado
PR,CAPANEMA,Aprovado
PA,CAPANEMA,Aprovado
SC,CAPAO ALTO,Não Cadastrado
SP,CAPAO BONITO,Aprovado
RS,CAPAO BONITO DO SUL,Aprovado
RS,CAPAO DA CANOA,Aprovado
RS,CAPAO DO CIPO,Não Cadastrado
RS,CAPAO DO LEAO,Aprovado
MG,CAPARAO,Aprovado
SE,CAPELA,Aprovado
AL,CAPELA,Aprovado
RS,CAPELA DE SANTANA,Aprovado
SP,CAPELA DO ALTO,Aprovado
BA,CAPELA DO ALTO ALEGRE,Aprovado
MG,CAPELA NOVA,Não Cadastrado
MG,CAPELINHA,Aprovado
MG,CAPETINGA,Aprovado
PB,CAPIM,Aprovado
MG,CAPIM BRANCO,Aprovado
BA,CAPIM GROSSO,Aprovado
MG,CAPINOPOLIS,Aprovado
SC,CAPINZAL,Aprovado
MA,CAPINZAL DO NORTE,Aprovado
CE,CAPISTRANO,Aprovado
RS,CAPITAO,Aprovado
MG,CAPITAO ANDRADE,Aprovado
PI,CAPITAO DE CAMPOS,Aprovado
MG,CAPITAO ENEAS,Aprovado
PI,CAPITAO GERVASIO OLIVEIRA,Aprovado
PR,CAPITAO LEONIDAS MARQUES,Aprovado
PA,CAPITAO POCO,Aprovado
MG,CAPITOLIO,Aprovado
SP,CAPIVARI,Aprovado
SC,CAPIVARI DE BAIXO,Aprovado
RS,CAPIVARI DO SUL,Aprovado
AC,CAPIXABA,Em Cadastro
PE,CAPOEIRAS,Aprovado
MG,CAPUTIRA,Em Cadastro
RS,CARAA,Não Cadastrado
RR,CARACARAI,Aprovado
MS,CARACOL,Não Cadastrado
PI,CARACOL,Aprovado
SP,CARAGUATATUBA,Aprovado
MG,CARAI,Aprovado
BA,CARAIBAS,Aprovado
PR,CARAMBEI,Aprovado
MG,CARANAIBA,Não Cadastrado
MG,CARANDAI,Aprovado
MG,CARANGOLA,Aprovado
RJ,CARAPEBUS,Aprovado
SP,CARAPICUIBA,Aprovado
MG,CARATINGA,Aprovado
AM,CARAUARI,Aprovado
RN,CARAUBAS,Aprovado
PB,CARAUBAS,Aprovado
PI,CARAUBAS DO PIAUI,Aprovado
BA,CARAVELAS,Aprovado
RS,CARAZINHO,Aprovado
MG,CARBONITA,Aprovado
BA,CARDEAL DA SILVA,Não Cadastrado
SP,CARDOSO,Aprovado
RJ,CARDOSO MOREIRA,Aprovado
MG,CAREACU,Aprovado
AM,CAREIRO,Aprovado
AM,CAREIRO DA VARZEA,Não Cadastrado
ES,CARIACICA,Aprovado
CE,CARIDADE,Aprovado
PI,CARIDADE DO PIAUI,Aprovado
BA,CARINHANHA,Aprovado
SE,CARIRA,Aprovado
CE,CARIRE,Aprovado
TO,CARIRI DO TOCANTINS,Aprovado
CE,CARIRIACU,Aprovado
CE,CARIUS,Aprovado
MT,CARLINDA,Aprovado
PR,CARLOPOLIS,Aprovado
RS,CARLOS BARBOSA,Aprovado
MG,CARLOS CHAGAS,Aprovado
RS,CARLOS GOMES,Não Cadastrado
MG,CARMESIA,Não Cadastrado
RJ,CARMO,Aprovado
MG,CARMO DA CACHOEIRA,Aprovado
MG,CARMO DA MATA,Aprovado
MG,CARMO DE MINAS,Aprovado
MG,CARMO DO CAJURU,Aprovado
MG,CARMO DO PARANAIBA,Aprovado
MG,CARMO DO RIO CLARO,Aprovado
GO,CARMO DO RIO VERDE,Em Cadastro
TO,CARMOLANDIA,Não Cadastrado
SE,CARMOPOLIS,Aprovado
MG,CARMOPOLIS DE MINAS,Não Cadastrado
PE,CARNAIBA,Aprovado
RN,CARNAUBA DOS DANTAS,Aprovado
RN,CARNAUBAIS,Aprovado
CE,CARNAUBAL,Aprovado
PE,CARNAUBEIRA DA PENHA,Em Cadastro
MG,CARNEIRINHO,Não Cadastrado
AL,CARNEIROS,Aprovado
RR,CAROEBE,Aprovado
MA,CAROLINA,Aprovado
PE,CARPINA,Aprovado
MG,CARRANCAS,Não Cadastrado
PB,CARRAPATEIRA,Aprovado
TO,CARRASCO BONITO,Aprovado
PE,CARUARU,Aprovado
MA,CARUTAPERA,Aprovado
MG,CARVALHOPOLIS,Aprovado
MG,CARVALHOS,Não Cadastrado
SP,CASA BRANCA,Aprovado
MG,CASA GRANDE,Aprovado
BA,CASA NOVA,Aprovado
RS,CASCA,Aprovado
MG,CASCALHO RICO,Aprovado
CE,CASCAVEL,Aprovado
PR,CASCAVEL,Aprovado
TO,CASEARA,Aprovado
RS,CASEIROS,Aprovado
RJ,CASIMIRO DE ABREU,Aprovado
PE,CASINHAS,Aprovado
PB,CASSERENGUE,Aprovado
MG,CASSIA,Aprovado
SP,CASSIA DOS COQUEIROS,Aprovado
MS,CASSILANDIA,Aprovado
PA,CASTANHAL,Aprovado
MT,CASTANHEIRA,Não Cadastrado
RO,CASTANHEIRAS,Não Cadastrado
GO,CASTELANDIA,Não Cadastrado
ES,CASTELO,Aprovado
PI,CASTELO DO PIAUI,Aprovado
SP,CASTILHO,Aprovado
PR,CASTRO,Aprovado
BA,CASTRO ALVES,Aprovado
MG,CATAGUASES,Aprovado
GO,CATALAO,Aprovado
SP,CATANDUVA,Aprovado
PR,CATANDUVAS,Aprovado
SC,CATANDUVAS,Aprovado
CE,CATARINA,Não Cadastrado
MG,CATAS ALTAS,Aprovado
MG,CATAS ALTAS DA NORUEGA,Aprovado
PE,CATENDE,Aprovado
SP,CATIGUA,Aprovado
PB,CATINGUEIRA,Aprovado
BA,CATOLANDIA,Não Cadastrado
PB,CATOLE DO ROCHA,Aprovado
BA,CATU,Aprovado
RS,CATUIPE,Aprovado
MG,CATUJI,Aprovado
CE,CATUNDA,Aprovado
GO,CATURAI,Não Cadastrado
BA,CATURAMA,Não Cadastrado
PB,CATURITE,Aprovado
MG,CATUTI,Aprovado
CE,CAUCAIA,Aprovado
GO,CAVALCANTE,Aprovado
MG,CAXAMBU,Aprovado
SC,CAXAMBU DO SUL,Aprovado
MA,CAXIAS,Aprovado
RS,CAXIAS DO SUL,Aprovado
PI,CAXINGO,Em Cadastro
RN,CEARA-MIRIM,Aprovado
SP,CEDRAL,Aprovado
MA,CEDRAL,Aprovado
CE,CEDRO,Aprovado
PE,CEDRO,Aprovado
SE,CEDRO DE SAO JOAO,Aprovado
MG,CEDRO DO ABAETE,Aprovado
SC,CELSO RAMOS,Não Cadastrado
TO,CENTENARIO,Não Cadastrado
RS,CENTENARIO,Em Cadastro
PR,CENTENARIO DO SUL,Aprovado
BA,CENTRAL,Aprovado
MG,CENTRAL DE MINAS,Não Cadastrado
MA,CENTRAL DO MARANHAO,Aprovado
MG,CENTRALINA,Aprovado
MA,CENTRO DO GUILHERME,Não Cadastrado
MA,CENTRO NOVO DO MARANHAO,Não Cadastrado
RO,CEREJEIRAS,Aprovado
GO,CERES,Aprovado
SP,CERQUEIRA CESAR,Aprovado
SP,CERQUILHO,Aprovado
RS,CERRITO,Aprovado
PR,CERRO AZUL,Não Cadastrado
RS,CERRO BRANCO,Aprovado
RN,CERRO CORA,Aprovado
RS,CERRO GRANDE,Aprovado
RS,CERRO GRANDE DO SUL,Aprovado
RS,CERRO LARGO,Aprovado
SC,CERRO NEGRO,Aprovado
SP,CESARIO LANGE,Aprovado
PR,CEU AZUL,Não Cadastrado
GO,CEZARINA,Não Cadastrado
PE,CHA DE ALEGRIA,Aprovado
PE,CHA GRANDE,Aprovado
AL,CHA PRETA,Aprovado
MG,CHACARA,Não Cadastrado
MG,CHALE,Não Cadastrado
RS,CHAPADA,Aprovado
TO,CHAPADA DA NATIVIDADE,Aprovado
TO,CHAPADA DE AREIA,Não Cadastrado
MG,CHAPADA DO NORTE,Aprovado
MT,CHAPADA DOS GUIMARAES,Aprovado
MG,CHAPADA GAUCHA,Aprovado
GO,CHAPADAO DO CEU,Não Cadastrado
SC,CHAPADAO DO LAGEADO,Em Cadastro
MS,CHAPADAO DO SUL,Aprovado
MA,CHAPADINHA,Aprovado
SC,CHAPECO,Aprovado
SP,CHARQUEADA,Não Cadastrado
RS,CHARQUEADAS,Aprovado
RS,CHARRUA,Aprovado
CE,CHAVAL,Aprovado
SP,CHAVANTES,Aprovado
PA,CHAVES,Aprovado
MG,CHIADOR,Não Cadastrado
RS,CHIAPETTA,Aprovado
PR,CHOPINZINHO,Aprovado
CE,CHORO,Aprovado
CE,CHOROZINHO,Aprovado
BA,CHORROCHO,Aprovado
RS,CHUI,Em Cadastro
RO,CHUPINGUAIA,Aprovado
RS,CHUVISCA,Aprovado
PR,CIANORTE,Aprovado
BA,CICERO DANTAS,Aprovado
PR,CIDADE GAUCHA,Aprovado
GO,CIDADE OCIDENTAL,Aprovado
MA,CIDELANDIA,Não Cadastrado
RS,CIDREIRA,Aprovado
BA,CIPO,Aprovado
MG,CIPOTANEA,Aprovado
RS,CIRIACO,Aprovado
MG,CLARAVAL,Aprovado
MG,CLARO DOS POCOES,Aprovado
MT,CLAUDIA,Aprovado
MG,CLAUDIO,Aprovado
SP,CLEMENTINA,Não Cadastrado
PR,CLEVELANDIA,Não Cadastrado
BA,COARACI,Aprovado
AM,COARI,Não Cadastrado
PI,COCAL,Aprovado
PI,COCAL DE TELHA,Aprovado
SC,COCAL DO SUL,Aprovado
PI,COCAL DOS ALVES,Aprovado
MT,COCALINHO,Não Cadastrado
GO,COCALZINHO DE GOIAS,Aprovado
BA,COCOS,Aprovado
AM,CODAJAS,Não Cadastrado
MA,CODO,Aprovado
MA,COELHO NETO,Aprovado
MG,COIMBRA,Aprovado
AL,COITE DO NOIA,Aprovado
PI,COIVARAS,Aprovado
PA,COLARES,Aprovado
ES,COLATINA,Aprovado
MT,COLIDER,Aprovado
SP,COLINA,Aprovado
RS,COLINAS,Aprovado
MA,COLINAS,Aprovado
GO,COLINAS DO SUL,Aprovado
TO,COLINAS DO TOCANTINS,Aprovado
TO,COLMEIA,Não Cadastrado
MT,COLNIZA,Aprovado
SP,COLOMBIA,Aprovado
PR,COLOMBO,Aprovado
PI,COLONIA DO GURGUEIA,Em Cadastro
PI,COLONIA DO PIAUI,Aprovado
AL,COLONIA LEOPOLDINA,Aprovado
PR,COLORADO,Aprovado
RS,COLORADO,Em Cadastro
RO,COLORADO DO OESTE,Não Cadastrado
MG,COLUNA,Aprovado
TO,COMBINADO,Aprovado
MG,COMENDADOR GOMES,Não Cadastrado
RJ,COMENDADOR LEVY GASPARIAN,Não Cadastrado
MG,COMERCINHO,Aprovado
MT,COMODORO,Não Cadastrado
PB,CONCEICAO,Aprovado
MG,CONCEICAO DA APARECIDA,Aprovado
ES,CONCEICAO DA BARRA,Aprovado
MG,CONCEICAO DA BARRA DE MINAS,Aprovado
BA,CONCEICAO DA FEIRA,Aprovado
MG,CONCEICAO DAS ALAGOAS,Aprovado
MG,CONCEICAO DAS PEDRAS,Não Cadastrado
MG,CONCEICAO DE IPANEMA,Aprovado
RJ,CONCEICAO DE MACABU,Rejeitado
BA,CONCEICAO DO ALMEIDA,Aprovado
PA,CONCEICAO DO ARAGUAIA,Aprovado
PI,CONCEICAO DO CANINDE,Aprovado
ES,CONCEICAO DO CASTELO,Aprovado
BA,CONCEICAO DO COITE,Aprovado
BA,CONCEICAO DO JACUIPE,Aprovado
MA,CONCEICAO DO LAGO-ACU,Aprovado
MG,CONCEICAO DO MATO DENTRO,Aprovado
MG,CONCEICAO DO PARA,Aprovado
MG,CONCEICAO DO RIO VERDE,Aprovado
TO,CONCEICAO DO TOCANTINS,Aprovado
MG,CONCEICAO DOS OUROS,Aprovado
SP,CONCHAL,Aprovado
SP,CONCHAS,Aprovado
SC,CONCORDIA,Aprovado
PA,CONCORDIA DO PARA,Aprovado
PE,CONDADO,Aprovado
PB,CONDADO,Aprovado
PB,CONDE,Aprovado
BA,CONDE,Aprovado
BA,CONDEUBA,Aprovado
RS,CONDOR,Aprovado
MG,CONEGO MARINHO,Em Análise
MG,CONFINS,Aprovado
MT,CONFRESA,Aprovado
PB,CONGO,Aprovado
MG,CONGONHAL,Aprovado
MG,CONGONHAS,Aprovado
MG,CONGONHAS DO NORTE,Aprovado
PR,CONGONHINHAS,Não Cadastrado
MG,CONQUISTA,Aprovado
MT,CONQUISTA D'OESTE,Não Cadastrado
MG,CONSELHEIRO LAFAIETE,Aprovado
PR,CONSELHEIRO MAIRINCK,Não Cadastrado
MG,CONSELHEIRO PENA,Aprovado
MG,CONSOLACAO,Não Cadastrado
RS,CONSTANTINA,Aprovado
MG,CONTAGEM,Aprovado
PR,CONTENDA,Aprovado
BA,CONTENDAS DO SINCORA,Aprovado
MG,COQUEIRAL,Aprovado
RS,COQUEIRO BAIXO,Não Cadastrado
AL,COQUEIRO SECO,Aprovado
RS,COQUEIROS DO SUL,Não Cadastrado
MG,CORACAO DE JESUS,Aprovado
BA,CORACAO DE MARIA,Aprovado
PR,CORBELIA,Aprovado
RJ,CORDEIRO,Aprovado
SP,CORDEIROPOLIS,Aprovado
BA,CORDEIROS,Aprovado
SC,CORDILHEIRA ALTA,Não Cadastrado
MG,CORDISBURGO,Aprovado
MG,CORDISLANDIA,Aprovado
CE,COREAU,Aprovado
PB,COREMAS,Aprovado
MS,CORGUINHO,Aprovado
BA,CORIBE,Aprovado
MG,CORINTO,Aprovado
PR,CORNELIO PROCOPIO,Aprovado
MG,COROACI,Aprovado
SP,COROADOS,Não Cadastrado
MA,COROATA,Aprovado
MG,COROMANDEL,Aprovado
RS,CORONEL BARROS,Aprovado
RS,CORONEL BICACO,Aprovado
PR,CORONEL DOMINGOS SOARES,Não Cadastrado
RN,CORONEL EZEQUIEL,Não Cadastrado
MG,CORONEL FABRICIANO,Aprovado
SC,CORONEL FREITAS,Não Cadastrado
RN,CORONEL JOAO PESSOA,Em Complementação
BA,CORONEL JOAO SA,Aprovado
PI,CORONEL JOSE DIAS,Aprovado
SP,CORONEL MACEDO,Não Cadastrado
SC,CORONEL MARTINS,Aprovado
MG,CORONEL MURTA,Aprovado
MG,CORONEL PACHECO,Em Cadastro
RS,CORONEL PILAR,Não Cadastrado
MS,CORONEL SAPUCAIA,Em Cadastro
PR,CORONEL VIVIDA,Aprovado
MG,CORONEL XAVIER CHAVES,Aprovado
MG,CORREGO DANTA,Não Cadastrado
MG,CORREGO DO BOM JESUS,Não Cadastrado
GO,CORREGO DO OURO,Não Cadastrado
MG,CORREGO FUNDO,Aprovado
MG,CORREGO NOVO,Não Cadastrado
SC,CORREIA PINTO,Aprovado
PI,CORRENTE,Em Complementação
PE,CORRENTES,Aprovado
BA,CORRENTINA,Aprovado
PE,CORTES,Aprovado
MS,CORUMBA,Aprovado
GO,CORUMBA DE GOIAS,Aprovado
GO,CORUMBAIBA,Não Cadastrado
SP,CORUMBATAI,Aprovado
PR,CORUMBATAI DO SUL,Não Cadastrado
RO,CORUMBIARA,Não Cadastrado
SC,CORUPA,Aprovado
AL,CORURIPE,Aprovado
SP,COSMOPOLIS,Aprovado
SP,COSMORAMA,Aprovado
RO,COSTA MARQUES,Aprovado
MS,COSTA RICA,Aprovado
