registros,I_Cmp,I_Und
5,ARROZ,FDO 6X5KG
5,ARROZ IN - NATURA,FARDO COM 30 KG
5,CASCA ARROZ,UNID
5,ARROZ IN - NATURA,PACOTE DE 05 KG
5,ARROZ,CX
5,ARROZ IN - NATURA,EMB DE 5KG
5,CASCA ARROZ,QUILO
5,ARROZ,EMBALAGEM DE 500G
5,ARROZ IN - NATURA,EMBALAGEM 5 KG
4,ARROZ,PCT C/ 5KG
4,ARROZ IN - NATURA,PCT 5KG
4,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,SERVIÇO
4,ARROZ,UM
4,ARROZ,EMBALAGEM DE 1 KG
4,ARROZ,PACOTE COM 05 QUILOS
4,ARROZ,FRDS
4,ARROZ IN - NATURA,LATA
4,ARROZ,PCT 5 KG
4,ARROZ IN - NATURA,PCTE
4,ARROZ,FARDO 30KG
4,ARROZ IN - NATURA,PACOTE COM 1 KG
4,ARROZ IN - NATURA,SACO 40 KG
4,ARROZ IN - NATURA,FRD.
4,ARROZ IN - NATURA,EMB
4,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UND
4,ARROZ IN - NATURA,FARDO C/30KG
4,CASCA ARROZ,KILOS
4,FARINHA ARROZ,KG
4,FARINHA ARROZ,EMB
4,ARROZ,FRDS.
4,ARROZ,FARDO 6X5KG
4,ARROZ,EMBALAGEM MÍNIMA 5KG
4,ARROZ,5KG
3,ARROZ,EMB 500G
3,ARROZ,10 G
3,ARROZ IN - NATURA,EMBALAGEM DE 05 KG
3,ARROZ,PACOTE C/ 5 KG
3,ARROZ,"PCT 5,00 KG"
3,ARROZ IN - NATURA,PACOTE DE 5 KG
3,ARROZ,UNIDADES
3,ARROZ,SCS
3,ARROZ,FARDO C/10 X 1 KG.
3,ARROZ,FARDO C/10X1KG.
3,CASCA ARROZ,M
3,ARROZ IN - NATURA,KILOGRAMAS
3,ARROZ,EMBALAGEM 5 KG
3,ARROZ,EMB
3,ARROZ,CAIXA
