registros,I_Cmp,I_Und
6,CONTROLE DE ABASTECIMENTO DE VEICULOS,OUTRAS
6,CIMENTO BRANCO,PC
6,CONEXAO T DO TUBO DE ABASTECIMENTO DE MOTOR A GASOLINA,UM
6,INJECOES DE CIMENTO (OBRAS CIVIS),UN
6,CONEXAO HIDRAULICA - CIMENTO,PAR
6,CONTROLE DE ABASTECIMENTO DE VEICULOS,SVC
6,CIMENTO BRANCO,SACAS
6,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,KIT
6,CIMENTO REFRATÁRIO,CAIXA COM 250 GR
6,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,CJ
6,CIMENTO REFRATÁRIO,"SACO 00000050,00 KG"
6,CIMENTO RESINOSO,CX
6,TAMPA TUBO ABASTECIMENTO,PECA
6,"MESA COM AQUECIMENTO FIXO - COZINHAR, ASSAR  E SERVIR ALIMENTO",UN
6,TANQUE DE CIMENTO PARA LAVAR ROUPA,PEÇA
6,CIMENTO ORTOPÉDICO,"FRASCO 10,00 G"
6,CIMENTO PORTLAND,SACO C/50 KG
6,CIMENTO PORTLAND,SC 50 QUILO
6,CONEXAO HIDRAULICA - CIMENTO,CONJUNTO
6,TUBO DE CIMENTO - AMIANTO,UM
6,CONEXAO HIDRAULICA - CIMENTO,METRO
6,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,CX
6,CIMENTO REFRATÁRIO,SC 50 KG
6,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,KG
6,CACAROLA DE AQUECIMENTO DE COLA,CAIXA
6,CIMENTO REFRATÁRIO,SC DE 50KG
6,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,UN
6,CIMENTO IONÔMERO VIDRO,VIDRO
5,CIMENTO DE IONÔMERO DE VIDRO,UN.
5,CIMENTO ORTOPÉDICO,VD.
5,CIMENTO REFRATÁRIO,SACO C/50KG
5,CONEXAO T DO TUBO DE ABASTECIMENTO DE MOTOR A GASOLINA,UNIDADE
5,REGULADOR CRESCIMENTO PLANTA,EMBALAGEM 1 KG
5,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,UM
5,CIMENTO PORTLAND,UNDS
5,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UN.
5,COMPONENTE BOMBA ABASTECIMENTO,PÇ
5,EQUIPAMENTO CONJUGADO COM UNIDADE DE  AQUECIMENTO DE ALIMENTO,UNID
5,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,LITRO
5,CIMENTO BRANCO,"SACO 42,50 KG"
5,CONTROLE DE ABASTECIMENTO DE VEICULOS,LOTE COMPLETO
5,CIMENTO REFRATÁRIO,PÇ
5,CIMENTO PORTLAND,PEÇA
5,CIMENTO PORTLAND,1
5,CIMENTO REFRATÁRIO,SACO DE 20 KG
5,TAMPA TUBO ABASTECIMENTO,UD
5,REGULADOR CRESCIMENTO PLANTA,FR
5,CIMENTO PORTLAND,CX
5,CONEXAO HIDRAULICA - CIMENTO,VARA
5,CIMENTO BRANCO,PÇ
5,RESISTOR DE AQUECIMENTO DE LIQUIDO,UN
5,CIMENTO PORTLAND,"SACO 1,00 KG"
5,CIMENTO ORTOPÉDICO,KG
5,CIMENTO REFRATÁRIO,TAMBOR
5,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UD
5,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,BOMBA
5,CIMENTO ORTOPÉDICO,CX.
5,CIMENTO PORTLAND,SACO DE 50 KG.
5,COMPONENTE BOMBA ABASTECIMENTO,UNIDADE.
5,CIMENTO ORTOPÉDICO,UNID.
5,UTENSILIO CONJUGADO COM UNIDADE DE AQUECIMENTO DE ALIMENTO,PEÇA
5,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UND.
5,CONTROLE DE ABASTECIMENTO DE VEICULOS,VALOR GLOBAL
5,CONEXAO HIDRAULICA - CIMENTO,ROLO
5,COMPONENTE BOMBA ABASTECIMENTO,JOGO
5,CIMENTO REFRATÁRIO,UNI
5,REGULADOR CRESCIMENTO PLANTA,"FRASCO 1,00L"
5,USINA DE SOLO CIMENTO,METRO
5,SISTEMA ENERGIA SOLAR - AQUECIMENTO DE AGUA,CJ
5,HASTE LATERAL SISTEMA DE PRE - AQUECIMENTO  DE  CILINDRO DE MOTOR A GASOLINA,UMA
5,"MESA COM AQUECIMENTO FIXO - COZINHAR, ASSAR  E SERVIR ALIMENTO",UND
5,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UD
5,CONEXAO HIDRAULICA - CIMENTO,SACO
5,HASTE LATERAL SISTEMA DE PRE - AQUECIMENTO  DE  CILINDRO DE MOTOR A GASOLINA,UN
5,CIMENTO PORTLAND,O SACO
5,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,EA
5,UTENSILIO CONJUGADO COM UNIDADE DE AQUECIMENTO DE ALIMENTO,UND
5,CIMENTO REFRATÁRIO,T
5,CIMENTO REFRATÁRIO,POTE
5,CIMENTO RESINOSO,UM
5,CACAROLA DE AQUECIMENTO DE COLA,UN
5,CIMENTO PORTLAND,GALAO
5,CONEXAO HIDRAULICA - CIMENTO,CHAPA
5,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,U
5,CIMENTO BRANCO,KILOGRAMA
5,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,1
5,CIMENTO REFRATÁRIO,SC - 50 KG
5,CUBA DE CIMENTO PARA PIA,UMA
5,CIMENTO PORTLAND,UD
5,CIMENTO ORTOPÉDICO,U
4,CONEXAO HIDRAULICA - CIMENTO,PCT
4,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,CONJUNTO
4,CIMENTO REFRATÁRIO,SACO 20KG
4,USINA DE SOLO CIMENTO,M
4,CIMENTO IONÔMERO VIDRO,KT
4,CIMENTO ORTOPÉDICO,EST.
4,CIMENTO REFRATÁRIO,SC 20 KG
4,CIMENTO REFRATÁRIO,M
4,CIMENTO REFRATÁRIO,"SACO 00000020,00 KG"
4,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UNIDADES
4,CONTROLE DE ABASTECIMENTO DE VEICULOS,1
4,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,PEÇA
4,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UNITARIO
4,CIMENTO REFRATÁRIO,PEÇA
4,REGULADOR CRESCIMENTO PLANTA,GRAMA
4,CIMENTO ORTOPÉDICO,UN.
4,CIMENTO PORTLAND,SACO (50KG)
4,FILTRO COMBUSTÍVEL - POSTO ABASTECIMENTO,VERBA
4,INJECOES DE CIMENTO (OBRAS CIVIS),M²
4,CIMENTO REFRATÁRIO,EMB/
4,CIMENTO BRANCO,FOLHA
4,CONDUTO DE CIMENTO - AMIANTO,SC
4,REGULADOR CRESCIMENTO PLANTA,GRAMAS
4,CONTROLE DE ABASTECIMENTO DE VEICULOS,LOTE
4,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,CONJUNTO
4,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,HORA
4,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,SERV.
4,CIMENTO BRANCO,SACO COM 1 KG
4,CONTROLE DE ABASTECIMENTO DE VEICULOS,TAXA ADMINISTRAÇÃO
4,PAINEL DE CIMENTO - AMIANTO,UN
4,CIMENTO REFRATÁRIO,SACO.
4,CIMENTO PORTLAND,SACO - 50 KG
4,CIMENTO DE IONÔMERO DE VIDRO,DUZIAS
4,UNIDADE MOVEL LUBRIFICACAO E ABASTECIMENTO,PC
4,CIMENTO PORTLAND,PECA
4,CONTROLE DE ABASTECIMENTO DE VEICULOS,FÓRMULA
4,CIMENTO PORTLAND,LATA
4,REGULADOR CRESCIMENTO PLANTA,5 LITROS
4,CONDUTOR LATERAL ARREFECIMENTO AR-VEICULO AUTOMOTIVO,L
4,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,UNID.
4,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),CX.
4,CIMENTO REFRATÁRIO,SACO COM 20 KG
4,CONTROLE DE ABASTECIMENTO DE VEICULOS,PERCENTUAL DE DESCON
4,CIMENTO DE IONÔMERO DE VIDRO,UNID.
4,CIMENTO ORTOPÉDICO,DOSES
4,COMPONENTE BOMBA ABASTECIMENTO,QUILO
4,REGULADOR CRESCIMENTO PLANTA,SACO DE 50 KG
4,CONEXAO HIDRAULICA - CIMENTO,METROS
4,ABASTECIMENTO TERMINAL AUTO-ATENDIMENTO,LITROS
4,CONEXAO T DO TUBO DE ABASTECIMENTO DE MOTOR A GASOLINA,PÇ
4,REGULADOR CRESCIMENTO PLANTA,EMBALAGEM
4,CIMENTO ORTOPÉDICO,SACO
4,FILTRO COMBUSTÍVEL - POSTO ABASTECIMENTO,PEÇA
4,CIMENTO PORTLAND,MILHEIRO
4,CIMENTO PORTLAND,SACOS 50 KG
4,CONTROLE DE ABASTECIMENTO DE VEICULOS,CARTOES
4,CONEXAO DE CIMENTO AMIANTO,UNIDADE
4,COMPONENTE HIDRAULICO DE ABASTECIMENTO EM VOO,KG
4,CIMENTO REFRATÁRIO,SACOS DE 50 KG
4,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),UN
4,UNIDADE MOVEL LUBRIFICACAO E ABASTECIMENTO,MESES
4,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,PE
4,CONTROLE DE ABASTECIMENTO DE VEICULOS,CONTRATO
4,CIMENTO PORTLAND,NAO INFORMADO
4,REGULADOR CRESCIMENTO PLANTA,"EMBALAGEM 1000,00 ML"
4,TUBO DE CIMENTO - AMIANTO,PC
4,CIMENTO PORTLAND,M3
4,SISTEMA ENERGIA SOLAR - AQUECIMENTO DE AGUA,CONJUNTO
4,CUBA DE CIMENTO PARA PIA,UNIDADE
4,CONEXAO DE CIMENTO AMIANTO,SACO
4,COMPONENTE BOMBA ABASTECIMENTO,KG
4,CONEXAO T DO TUBO DE ABASTECIMENTO DE MOTOR A GASOLINA,UNID
4,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,FL
4,CIMENTO REFRATÁRIO,EA
4,BUJÃO ÓLEO ABASTECIMENTO,BUJÃO
4,COMPONENTE BOMBA ABASTECIMENTO,JG
4,REGULADOR CRESCIMENTO PLANTA,UN
4,CIMENTO PORTLAND,PC
4,TANQUE DE CIMENTO PARA LAVAR ROUPA,PACOTE
4,"MESA COM AQUECIMENTO FIXO - COZINHAR, ASSAR  E SERVIR ALIMENTO",UMA
4,CIMENTO ORTOPÉDICO,PT
4,CIMENTO PORTLAND,SACOS DE 50 KG
4,TAMPA TUBO ABASTECIMENTO,UNI
4,CIMENTO REFRATÁRIO,FR
4,CIMENTO BRANCO,"GALÃO 3,60 L"
4,CIMENTO BRANCO,CAIXA
4,CIMENTO ORTOPÉDICO,KT
4,CIMENTO PORTLAND,SACO C/ 50 KG.
3,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,U
3,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,LITROS
3,REGULADOR CRESCIMENTO PLANTA,"SACO 00000050,00 KG"
3,CIMENTO DE IONÔMERO DE VIDRO,POTE
3,CIMENTO PORTLAND,SACA COM 50 KG
3,CIMENTO REFRATÁRIO,SACO/
3,CIMENTO PORTLAND,SACO 50 QUILO
3,CACAROLA DE AQUECIMENTO DE COLA,FRASCO
3,CIMENTO RESINOSO,FRASCO
3,CIMENTO REFRATÁRIO,LA
3,REGULADOR CRESCIMENTO PLANTA,GALÕES DE 5 LITROS
3,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,FRASCO 1 LITRO
3,CIMENTO ORTOPÉDICO,BISNAGA
3,REGULADOR CRESCIMENTO PLANTA,UM
3,CONTROLE DE ABASTECIMENTO DE VEICULOS,UN.
3,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),GR
3,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,UNID
3,INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO,1
3,CIMENTO DE IONÔMERO DE VIDRO,BISN
3,PORTINHOLA ESQUERDA / DIREITA SISTEMA PRE - AQUECIMENTO DE CILINDRO,UN
3,COMPONENTE BOMBA ABASTECIMENTO,CONJUNTO
3,ABASTECIMENTO TERMINAL AUTO-ATENDIMENTO,LITRO
3,CIMENTO PORTLAND,LOTE
3,CACAROLA DE AQUECIMENTO DE COLA,UNID
3,TANQUE DE CIMENTO PARA LAVAR ROUPA,JG
3,CAPTADOR DE AR DO SISTEMA DE PRE - AQUECIMENTO DO MOTOR,U
3,REGULADOR CRESCIMENTO PLANTA,UNID.
3,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,LT
3,CIMENTO DE IONÔMERO DE VIDRO,UM
3,CIMENTO PORTLAND,SC C/ 50KG
3,CIMENTO REFRATÁRIO,FRASCO/
3,REGULADOR CRESCIMENTO PLANTA,SACOS DE 25 KG
3,REGULADOR CRESCIMENTO PLANTA,FRASCO 500G
3,PORTINHOLA ESQUERDA / DIREITA SISTEMA PRE - AQUECIMENTO DE CILINDRO,UNIDADE
3,CIMENTO REFRATÁRIO,SCS
3,CIMENTO PORTLAND,SACA 50KG
3,CIMENTO PORTLAND,"SACO 5,00 KG"
3,CIMENTO ORTOPÉDICO,CONJ
3,REGULADOR CRESCIMENTO PLANTA,FRASCO COM 25 GRAMAS
3,REGULADOR CRESCIMENTO PLANTA,SACO 25 KG
3,CIMENTO ORTOPÉDICO,EST
3,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UNI
3,CIMENTO DE IONÔMERO DE VIDRO,PÇ
3,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,PC
3,CIMENTO PORTLAND,SA
3,CIMENTO BRANCO,SCS
3,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),G
3,CIMENTO REFRATÁRIO,UINDADE
3,CACAROLA DE AQUECIMENTO DE COLA,GALAO
3,CIMENTO REFRATÁRIO,SC C/ 20 KG.
3,ESTUDOS E PROJETOS DE SISTEMAS DE AQUECIMENTO,UNIDADE
3,CIMENTO BRANCO,SACO ( 1KG )
3,CIMENTO ORTOPÉDICO,SC
3,CIMENTO BRANCO,"1,00 KG"
3,CIMENTO PORTLAND,SC DE 25 KG
3,COMPONENTE BOMBA ABASTECIMENTO,UMA
3,CONDUTO DE CIMENTO - AMIANTO,SACO
3,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),UNIDADE
3,CONTROLE DE ABASTECIMENTO DE VEICULOS,TAXA DE ADM.
3,ABASTECIMENTO TERMINAL AUTO-ATENDIMENTO,BOX
3,CONTROLE DE ABASTECIMENTO DE VEICULOS,LLITROS
3,USINA DE SOLO CIMENTO,SACO - 50 KG
3,CIMENTO BRANCO,135
3,CIMENTO BRANCO,SACO DE 1KG
3,FORNO DE ENDURECIMENTO DE MATERIAL METALICO,UN
3,REGULADOR CRESCIMENTO PLANTA,"FRASCO 00000001,00 L"
3,COMPONENTE BOMBA ABASTECIMENTO,METROS
3,CIMENTO BRANCO,SC C/ 01 KG
3,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,UD
3,CIMENTO PORTLAND,SACO 50 KG.
3,CIMENTO RESINOSO,CAIXA
3,"MESA COM AQUECIMENTO FIXO - COZINHAR, ASSAR  E SERVIR ALIMENTO",PÇ
3,ESTUDOS E PROJETOS DE SISTEMAS DE AQUECIMENTO,SERVIÇO
3,CIMENTO REFRATÁRIO,LOTE
3,CIMENTO PORTLAND,FOLHA
3,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,UNIDADE
3,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,-
3,CIMENTO REFRATÁRIO,PACOTES 250 G
3,CIMENTO PORTLAND,UMA
3,CIMENTO BRANCO,L
3,CIMENTO PORTLAND,SACA 50 KG
3,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,1
3,CIMENTO ORTOPÉDICO,KIT C/ 02 BIS
3,HASTE DE UNIAO DE SISTEMA DE PRE - AQUECIMENTO DE MOTOR A GASOLINA,UN
3,CONTROLE DE ABASTECIMENTO DE VEICULOS,SERV.
3,CONTROLE DE ABASTECIMENTO DE VEICULOS,VLR GLOBAL SERVIÇO
3,HASTE LATERAL SISTEMA DE PRE - AQUECIMENTO  DE  CILINDRO DE MOTOR A GASOLINA,UND.
3,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,L
3,CIMENTO PORTLAND,KG.
3,INJECOES DE CIMENTO (OBRAS CIVIS),1
3,RESISTOR PARA AQUECIMENTO,UND
3,BUJÃO ÓLEO ABASTECIMENTO,LITRO
3,CIMENTO REFRATÁRIO,M3
3,CIMENTO PORTLAND,UNIT
3,CIMENTO PORTLAND,SACA.
3,CONDUTOR LATERAL ARREFECIMENTO AR-VEICULO AUTOMOTIVO,UNIDADE
3,TANQUE DE CIMENTO PARA LAVAR ROUPA,PECA
3,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,JOGO
3,CONTROLE DE ABASTECIMENTO DE VEICULOS,VLR GLOBAL
3,TUBO DE CIMENTO AMIANTO,UN
3,CONEXAO HIDRAULICA - CIMENTO,TUBO
3,CIMENTO ORTOPÉDICO,UMA
3,CIMENTO DE IONÔMERO DE VIDRO,UD
3,CONTROLE DE ABASTECIMENTO DE VEICULOS,1
3,CIMENTO IONÔMERO VIDRO,FRASCO 10 ML
3,REGULADOR CRESCIMENTO PLANTA,FRASCO COM 1 LITRO
3,CIMENTO ORTOPÉDICO,"FRASCO 20,00 G"
3,CONTROLE DE ABASTECIMENTO DE VEICULOS,LITROSN
3,INJECOES DE CIMENTO (OBRAS CIVIS),SACO
3,CIMENTO ORTOPÉDICO,PEÇA
3,UTENSILIO CONJUGADO COM UNIDADE DE AQUECIMENTO DE ALIMENTO,PEÇAS
3,CONDUTOR LATERAL ARREFECIMENTO AR-VEICULO AUTOMOTIVO,LITRO
3,REGULADOR CRESCIMENTO PLANTA,"GALÃO 1,00L"
3,CIMENTO BRANCO,PCTE
3,CIMENTO PORTLAND,L
3,REGULADOR CRESCIMENTO PLANTA,"EMBALAGEM 5000,00 ML"
3,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UNID.
3,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,PAR
3,CIMENTO PORTLAND,SACOS COM 50 KG
3,CONTROLE DE ABASTECIMENTO DE VEICULOS,UNID.
3,CIMENTO REFRATÁRIO,SACO - 50 KG
3,CIMENTO PORTLAND,"SC 42,5 KG"
3,INJECOES DE CIMENTO (OBRAS CIVIS),M
3,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,PEÇA
3,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,UNID
3,INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO,METRO LINEAR
3,CIMENTO ORTOPÉDICO,PE
2,TANQUE DE CIMENTO PARA LAVAR ROUPA,UNIDADES
2,FILTRO DESIDRATADOR - ABASTECIMENTO COMBUSTIVEL,PEÇA
2,CIMENTO BRANCO,KGS
2,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,LT
2,CIMENTO REFRATÁRIO,KG/M2
2,TUBO DE CIMENTO - AMIANTO,PEÇA
2,CIMENTO BRANCO,SACO 5 KG
2,REGULADOR CRESCIMENTO PLANTA,FRASCO 25G
2,CIMENTO REFRATÁRIO,50 KG
2,CIMENTO REFRATÁRIO,"SACO 42,5 KG"
2,USINA DE SOLO CIMENTO,UMA
2,CONTROLE DE ABASTECIMENTO DE VEICULOS,LITRSO
2,TUBO DE CIMENTO - AMIANTO,UNIDADE
2,CIMENTO BRANCO,LT
2,CONDUTOR SUPERIOR ARREFECIMENTO AR - VEICULO  AUTOMOTIVO,UD
2,CIMENTO PORTLAND,SACO DE 50KG.
2,CIMENTO RESINOSO,FR
2,CIMENTO PORTLAND,UN.
2,CACAROLA DE AQUECIMENTO DE COLA,PÇ
2,CIMENTO PORTLAND,1000
2,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),UNID
2,HASTE LATERAL SISTEMA DE PRE - AQUECIMENTO  DE  CILINDRO DE MOTOR A GASOLINA,UNIDADE
2,CIMENTO DE IONÔMERO DE VIDRO,CREME DENTAL
2,CIMENTO REFRATÁRIO,SACO 25KG
2,CIMENTO DE IONÔMERO DE VIDRO,PCT
2,CIMENTO PORTLAND,QUILOGRAMAS
2,CONTROLE DE ABASTECIMENTO DE VEICULOS,TOTALIDADE DO SERVIÇ
2,CONTROLE DE ABASTECIMENTO DE VEICULOS,VB
2,CIMENTO ORTOPÉDICO,JOGO
2,REGULADOR CRESCIMENTO PLANTA,BALDE
2,TUBO DE CIMENTO - AMIANTO,UNID.
2,UNIDADE MOVEL LUBRIFICACAO E ABASTECIMENTO,SVC
2,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,BOMBA
2,ESTUDOS E PROJETOS DE SISTEMAS DE AQUECIMENTO,SV
2,CIMENTO REFRATÁRIO,SACO 1 KG
2,CIMENTO PORTLAND,SC C/ 50 KG.
2,"MESA COM AQUECIMENTO PORTATIL - COZINHAR, ASSAR E SERVIR ALIMENTO",UN
2,INJECOES DE CIMENTO (OBRAS CIVIS),ML
2,CIMENTO REFRATÁRIO,SAC
2,CIMENTO PORTLAND,SAC.
2,CIMENTO REFRATÁRIO,PC
2,CIMENTO REFRATÁRIO,KG.
2,INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO,METRO QUADRADO
2,CIMENTO REFRATÁRIO,SACA(50KG)
2,CIMENTO REFRATÁRIO,"SACO 20,00 KG"
2,PAINEL DE CIMENTO - AMIANTO,CH
2,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,UND.
2,CONTROLE DE ABASTECIMENTO DE VEICULOS,U
2,SISTEMA DE AQUECIMENTO,UN
2,CIMENTO PORTLAND,SC DE 50 KG.
2,TUBO DE CIMENTO AMIANTO,UNIDADE
2,ABASTECIMENTO TERMINAL AUTO-ATENDIMENTO,UNID
2,CIMENTO REFRATÁRIO,SACO C/ 20KG
2,CIMENTO DE IONÔMERO DE VIDRO,TBS.
2,EQUIPAMENTO CONJUGADO COM UNIDADE DE  AQUECIMENTO DE ALIMENTO,UM
2,CIMENTO IONÔMERO VIDRO,"FRASCO 13,00 G"
2,HASTE DE UNIAO DE SISTEMA DE PRE - AQUECIMENTO DE MOTOR A GASOLINA,UNID
2,CIMENTO PORTLAND,FL
2,CONEXAO HIDRAULICA - CIMENTO,UN.
2,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UNID.
2,CIMENTO REFRATÁRIO,PCT 5 KG
2,CIMENTO PORTLAND,UNI
2,CIMENTO PORTLAND,SV
2,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UNIDADES
2,REGULADOR CRESCIMENTO PLANTA,LT
2,CACAROLA DE AQUECIMENTO DE COLA,CPS
2,CIMENTO REFRATÁRIO,SACO COM 50 QUILOS
2,CIMENTO PORTLAND,1
2,CIMENTO PORTLAND,"7,20"
2,INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO,UNID
2,CIMENTO PORTLAND,"12,50"
2,CIMENTO DE IONÔMERO DE VIDRO,FRASCO 10 G
2,CIMENTO REFRATÁRIO,SACO C/ 10 KG
2,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,JG
2,CIMENTO PORTLAND,"SACO COM 42,5 KG"
2,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),UND.
2,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,CJ
2,CIMENTO REFRATÁRIO,CAIXA C/ 2 BISNAGAS
2,BUJÃO ÓLEO ABASTECIMENTO,L
2,TUBO DE CIMENTO - AMIANTO,TUBO
2,FILTRO COMBUSTÍVEL - POSTO ABASTECIMENTO,JOGO
2,REGULADOR CRESCIMENTO PLANTA,PACOTE
2,CIMENTO IONÔMERO VIDRO,UN
2,CIMENTO PORTLAND,"SACO C/ 42,5 KG"
2,CUBA DE CIMENTO PARA PIA,PEÇA
2,CIMENTO BRANCO,SACO DE 50KG
2,CONTROLE DE ABASTECIMENTO DE VEICULOS,SERVIÇO/TAXA
2,INJECOES DE CIMENTO (OBRAS CIVIS),SC
2,CIMENTO DE IONÔMERO DE VIDRO,UND.
2,CIMENTO REFRATÁRIO,SACO DE 20KG
2,SISTEMA ENERGIA SOLAR - AQUECIMENTO DE AGUA,U
2,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,METRO
2,CIMENTO DE IONÔMERO DE VIDRO,FRASCO
2,CIMENTO BRANCO,"SACO 20,00 KG"
2,REGULADOR CRESCIMENTO PLANTA,"GALÃO 20,00L"
2,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,METRO
2,CIMENTO REFRATÁRIO,GRUPO
2,CIMENTO PORTLAND,"BARRA 12,00 M"
2,CAPTADOR DE AR DO SISTEMA DE PRE - AQUECIMENTO DO MOTOR,UNIDADE
2,CIMENTO BRANCO,O KG
2,TAMPA TUBO ABASTECIMENTO,CENTO
2,CIMENTO PORTLAND,SC/50KG
2,CIMENTO BRANCO,SACO COM 05 KG
2,CIMENTO REFRATÁRIO,50KG
2,CONTROLE DE ABASTECIMENTO DE VEICULOS,VALOR GLOBAL ESTIMAD
2,CIMENTO ORTOPÉDICO,"*BISNAGA 90,00 G"
2,CIMENTO PORTLAND,SACO COM 50 KILOS
2,CIMENTO ORTOPÉDICO,CAIXAS
2,CIMENTO PORTLAND,LITRO
2,CIMENTO BRANCO,KILOS
2,CIMENTO BRANCO,SACO (1KG)
2,TUBO DE CIMENTO - AMIANTO,METRO
2,CONTROLE DE ABASTECIMENTO DE VEICULOS,UNITARIO
2,CIMENTO PORTLAND,SACO 42.5 KG
2,TAMPA TUBO ABASTECIMENTO,TAMPA
2,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,1
2,CIMENTO BRANCO,"LATA 18,00 L"
2,CONDUTO DE CIMENTO - AMIANTO,UND
2,CIMENTO IONÔMERO VIDRO,"PACOTE 100,00 UN"
2,CIMENTO DE IONÔMERO DE VIDRO,BISN.
2,SUPLEMENTO CRESCIMENTO ( THAYER - MARTIN ),CAIXA
2,CIMENTO BRANCO,UN.
2,BUJÃO ÓLEO ABASTECIMENTO,LITROS
2,TUBO DE CIMENTO AMIANTO,UND
2,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,METROS
2,CIMENTO REFRATÁRIO,FRASCO 2 G
2,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,"1170,00"
2,EQUIPAMENTO CONJUGADO COM UNIDADE DE  AQUECIMENTO DE ALIMENTO,PEÇA
2,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,CAIXA
2,CIMENTO ORTOPÉDICO,VDO
2,CONEXAO HIDRAULICA - CIMENTO,M2
2,REGULADOR CRESCIMENTO PLANTA,PACOTE 150 GRAMAS
2,CIMENTO RESINOSO,CONJUNTO
