registros,I_Cmp,I_Und
195,CARTUCHO TONER IMPRESSORA / COPIADORA XEROX,"CAIXA 3,00 UN"
185,CARTUCHO TONER IMPRESSORA HP,UN
176,CARTUCHO IMPRESSÃO,1
175,CARTUCHO TONER IMPRESSORA CANON,UNIDADE
168,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",RECARGA
168,CARTUCHO TINTA IMPRESSORA,UNIDADE
166,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",SERV
151,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UNIDADES
135,CARTUCHO IMPRESSÃO,CD
125,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UNIDADES
117,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UNITARIO
116,CARTUCHO IMPRESSÃO,CART.
116,CARTUCHO IMPRESSÃO,CARTUCHOS
113,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",U
111,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UND/SERVIÇO
110,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",CARTUCHO
108,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UMA
89,CARTUCHO IMPRESSÃO,PÇ.
85,CARTUCHO TONER IMPRESSORA SAMSUNG,UN
85,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 10,00 UN"
85,CARTUCHO TINTA IMPRESSORA HP,CAIXA
84,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UMA
83,CARTUCHO IMPRESSÃO,UNITÁRIO
75,CARTUCHO TINTA IMPRESSORA ENCAD,UNIDADE
75,CARTUCHO TONER IMPRESSORA / COPIADORA XEROX,"CAIXA 4,00 UN"
72,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UN.
71,CARTUCHO TINTA IMPRESSORA,UND
71,CARTUCHO TINTA IMPRESSORA HP,UNID
71,CARTUCHO TINTA IMPRESSORA HP,PÇ
71,CARTUCHO TINTA IMPRESSORA APOLLO,UNIDADE
71,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",CARTUCHO
69,CARTUCHO TINTA IMPRESSORA BEMATECH,UNIDADE
69,CARTUCHO TINTA IMPRESSORA RIMA,UNIDADE
66,CARTUCHO TINTA IMPRESSORA PRIMERA TECHNOLOGY,UNIDADE
66,CARTUCHO TONER IMPRESSORA BROTHER,UN
65,CARTUCHO IMPRESSÃO,CAR
64,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SERVIÇO/UND
60,CARTUCHO TONER IMPRESSORA / COPIADORA OLIVETTI,"CAIXA 1,00 UN"
58,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UNI
58,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UD
56,CARTUCHO IMPRESSÃO,UNIDADE.
56,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",U
54,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SERV.
53,CARTUCHO TINTA IMPRESSORA OLIVETTI,"CAIXA 1,00 UN"
53,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UNID.
52,CARTUCHO TINTA IMPRESSORA EPSON,"CAIXA 2,00 UN"
52,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",PÇ
52,CARTUCHO TONER IMPRESSORA LEXMARK,UN
49,CARTUCHO IMPRESSÃO,CT
49,CARTUCHO TINTA IMPRESSORA EPSON,UN
48,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",PÇ
47,CARTUCHO TONER IMPRESSORA XANTÉ,UNIDADE
46,CARTUCHO IMPRESSÃO,PECAS
44,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SERVIÇOS
44,CARTUCHO IMPRESSÃO,NAO INFORMADO
44,CARTUCHO TINTA IMPRESSORA CANON,"CAIXA 2,00 UN"
42,CARTUCHO TONER IMPRESSORA / COPIADORA RICOH,"CAIXA 2,00 UN"
41,CARTUCHO TONER IMPRESSORA / COPIADORA OLIVETTI,"CAIXA 2,00 UN"
39,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",PEÇA
39,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",MÊS
